Mixed_Flock,Localidade,Latitude,Longitude,Fitofisionomia,Ecoregion,Temp,Prec,Alt,npp,evapo,Located,Edge
300,Novo_Horizonte,-22.555798,-53.886429,seasonal_forest,Alto_Parana_Atlantic_Forest,229,1517,339,0.81400001,96.66449738,edge,1
273,Nova_Andradinha,-22.052344,-53.392412,cerrado,Cerrado,229,1392,382,0.81400001,87.78119659,interior,0
278,Nova_Andradinha,-22.052344,-53.392412,cerrado,Cerrado,229,1392,382,0.81400001,87.78119659,edge,1
279,Nova_Andradinha,-22.052344,-53.392412,cerrado,Cerrado,229,1392,382,0.81400001,87.78119659,edge,1
281,Nova_Andradinha,-22.052344,-53.392412,cerrado,Cerrado,229,1392,382,0.81400001,87.78119659,edge,1
282,Nova_Andradinha,-22.052344,-53.392412,cerrado,Cerrado,229,1392,382,0.81400001,87.78119659,edge,1
283,Nova_Andradinha,-22.052344,-53.392412,cerrado,Cerrado,229,1392,382,0.81400001,87.78119659,edge,1
284,Nova_Andradinha,-22.052344,-53.392412,galeria_ciliar,Cerrado,229,1392,382,0.81400001,87.78119659,edge,1
285,Nova_Andradinha,-22.052344,-53.392412,galeria_ciliar,Cerrado,229,1392,382,0.81400001,87.78119659,edge,1
286,Nova_Andradinha,-22.052344,-53.392412,cerrado,Cerrado,229,1392,382,0.81400001,87.78119659,interior,0
287,Nova_Andradinha,-22.052344,-53.392412,cerrado,Cerrado,229,1392,382,0.81400001,87.78119659,interior,0
288,Nova_Andradinha,-22.052344,-53.392412,cerrado,Cerrado,229,1392,382,0.81400001,87.78119659,interior,0
275,Nova_Andradinha,-22.052344,-53.392412,cerradao,Cerrado,229,1392,382,0.81400001,87.78119659,interior,0
277,Nova_Andradinha,-22.052344,-53.392412,cerradao,Cerrado,229,1392,382,0.81400001,87.78119659,edge,1
276,Nova_Andradinha,-22.052344,-53.392412,cerradao,Cerrado,229,1392,382,0.81400001,87.78119659,interior,0
391,Nova_Alvorada,-21.412833,-54.42531,seasonal_forest,Cerrado,234,1436,421,0.5,98.30729675,edge,1
393,Nova_Alvorada,-21.412833,-54.42531,seasonal_forest,Cerrado,234,1436,421,0.5,98.30729675,edge,1
397,Nova_Alvorada,-21.412833,-54.42531,seasonal_forest,Cerrado,234,1436,421,0.5,98.30729675,interior,0
398,Nova_Alvorada,-21.412833,-54.42531,galeria_ciliar,Cerrado,234,1436,421,0.5,98.30729675,edge,1
396,Nova_Alvorada,-21.412833,-54.42531,cerradao,Cerrado,234,1436,421,0.5,98.30729675,edge,1
399,Nova_Alvorada,-21.412833,-54.42531,cerradao,Cerrado,234,1436,421,0.5,98.30729675,edge,1
394,Nova_Alvorada,-21.412833,-54.42531,cerradao,Cerrado,234,1436,421,0.5,98.30729675,edge,1
392,Nova_Alvorada,-21.412833,-54.42531,cerradao,Cerrado,234,1436,421,0.5,98.30729675,interior,0
195,Navirai,-22.84058,-53.556336,flooded_forest,Alto_Parana_Atlantic_Forest,227,1362,250,0.81400001,96.66449738,edge,1
196,Navirai,-22.84058,-53.556336,flooded_forest,Alto_Parana_Atlantic_Forest,227,1362,250,0.81400001,96.66449738,interior,0
197,Navirai,-22.84058,-53.556336,flooded_forest,Alto_Parana_Atlantic_Forest,227,1362,250,0.81400001,96.66449738,edge,1
198,Navirai,-22.84058,-53.556336,flooded_forest,Alto_Parana_Atlantic_Forest,227,1362,250,0.81400001,96.66449738,interior,0
199,Navirai,-22.84058,-53.556336,flooded_forest,Alto_Parana_Atlantic_Forest,227,1362,250,0.81400001,96.66449738,interior,0
200,Navirai,-22.84058,-53.556336,flooded_forest,Alto_Parana_Atlantic_Forest,227,1362,250,0.81400001,96.66449738,edge,1
201,Navirai,-22.84058,-53.556336,flooded_forest,Alto_Parana_Atlantic_Forest,227,1362,250,0.81400001,96.66449738,edge,1
202,Navirai,-22.84058,-53.556336,flooded_forest,Alto_Parana_Atlantic_Forest,227,1362,250,0.81400001,96.66449738,edge,1
203,Navirai,-22.84058,-53.556336,flooded_forest,Alto_Parana_Atlantic_Forest,227,1362,250,0.81400001,96.66449738,edge,1
204,Navirai,-22.84058,-53.556336,flooded_forest,Alto_Parana_Atlantic_Forest,227,1362,250,0.81400001,96.66449738,edge,1
205,Navirai,-22.84058,-53.556336,flooded_forest,Alto_Parana_Atlantic_Forest,227,1362,250,0.81400001,96.66449738,edge,1
206,Navirai,-22.84058,-53.556336,flooded_forest,Alto_Parana_Atlantic_Forest,227,1362,250,0.81400001,96.66449738,edge,1
12,Miranda,-20.5,-56.18,cerradao,Cerrado,244,1381,165,0.654999971,103.0355988,interior,0
15,Miranda,-20.5,-56.18,cerradao,Cerrado,244,1381,165,0.654999971,103.0355988,interior,0
17,Miranda,-20.5,-56.18,galeria_ciliar,Cerrado,244,1381,165,0.654999971,103.0355988,edge,1
23,Miranda,-20.5,-56.18,galeria_ciliar,Cerrado,244,1381,165,0.654999971,103.0355988,edge,1
23b,Miranda,-20.5,-56.18,galeria_ciliar,Cerrado,244,1381,165,0.654999971,103.0355988,edge,1
11,Miranda,-20.5,-56.18,cerradao,Cerrado,244,1381,165,0.654999971,103.0355988,edge,1
22,Miranda,-20.5,-56.18,cerradao,Cerrado,244,1381,165,0.654999971,103.0355988,interior,0
16,Miranda,-20.5,-56.18,cerradao,Cerrado,244,1381,165,0.654999971,103.0355988,interior,0
315,Maracaju,-21.870718,-55.399635,cerradao,Cerrado,229,1410,448,0.456999987,93.98770142,interior,0
317,Maracaju,-21.870718,-55.399635,cerradao,Cerrado,229,1410,448,0.456999987,93.98770142,interior,0
319,Maracaju,-21.870718,-55.399635,cerradao,Cerrado,229,1410,448,0.456999987,93.98770142,interior,0
322,Maracaju,-21.870718,-55.399635,cerradao,Cerrado,229,1410,448,0.456999987,93.98770142,edge,1
311,Maracaju,-21.870718,-55.399635,galeria_ciliar,Cerrado,229,1410,448,0.456999987,93.98770142,edge,1
314,Maracaju,-21.870718,-55.399635,galeria_ciliar,Cerrado,229,1410,448,0.456999987,93.98770142,edge,1
316,Maracaju,-21.870718,-55.399635,seasonal_forest,Cerrado,229,1410,448,0.456999987,93.98770142,edge,1
318,Maracaju,-21.870718,-55.399635,cerrado,Cerrado,229,1410,448,0.456999987,93.98770142,interior,0
321,Maracaju,-21.870718,-55.399635,seasonal_forest,Cerrado,229,1410,448,0.456999987,93.98770142,interior,0
323,Maracaju,-21.870718,-55.399635,cerrado,Cerrado,229,1410,448,0.456999987,93.98770142,edge,1
